serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
113,7/9/2025 00:00:00,,1156762880,2,,,,,
114,7/9/2025 00:00:00,,1156790683,2,,,,,
115,7/9/2025 00:00:00,,1156855718,2,,,,,
116,7/9/2025 00:00:00,,1156863597,2,,,,,
117,7/9/2025 00:00:00,,1156871244,2,,,,,
118,7/9/2025 00:00:00,,1156897553,2,,,,,
119,7/9/2025 00:00:00,,1156899187,2,,,,,
120,7/9/2025 00:00:00,,1156912899,2,,,,,
121,7/9/2025 00:00:00,,1156920157,2,,,,,
122,7/9/2025 00:00:00,,1156921882,2,,,,,
123,7/9/2025 00:00:00,,1156921908,2,,,,,
124,7/9/2025 00:00:00,,1156949446,2,,,,,
125,7/9/2025 00:00:00,,1156949693,2,,,,,
126,7/9/2025 00:00:00,,1156970939,2,,,,,
127,7/9/2025 00:00:00,,1156975557,2,,,,,
128,7/9/2025 00:00:00,,1157150457,2,,,,,
129,7/9/2025 00:00:00,,1157158641,2,,,,,
130,7/9/2025 00:00:00,,1157187376,2,,,,,
131,7/9/2025 00:00:00,,1157206531,2,,,,,
132,7/9/2025 00:00:00,,1157214071,2,,,,,
133,7/9/2025 00:00:00,,1157218890,2,,,,,
134,7/9/2025 00:00:00,,1157221738,2,,,,,
135,7/9/2025 00:00:00,,1157275130,2,,,,,
136,7/9/2025 00:00:00,,1157325554,2,,,,,
137,7/9/2025 00:00:00,,1157421890,2,,,,,
138,7/9/2025 00:00:00,,1157468537,2,,,,,
139,7/9/2025 00:00:00,,1157497791,2,,,,,
140,7/9/2025 00:00:00,,1157506369,2,,,,,
141,7/9/2025 00:00:00,,1157520345,2,,,,,
142,7/9/2025 00:00:00,,1157570548,2,,,,,
143,7/9/2025 00:00:00,,1157658095,2,,,,,
144,7/9/2025 00:00:00,,1157677699,2,,,,,
145,7/9/2025 00:00:00,,1157678820,2,,,,,
146,7/9/2025 00:00:00,,1157713957,2,,,,,
147,7/9/2025 00:00:00,,1157725027,2,,,,,
148,7/9/2025 00:00:00,,1157725670,2,,,,,
149,7/9/2025 00:00:00,,1157767607,2,,,,,
150,7/9/2025 00:00:00,,1157813393,2,,,,,
151,7/9/2025 00:00:00,,1157827302,2,,,,,
152,7/9/2025 00:00:00,,1157878990,2,,,,,
153,7/9/2025 00:00:00,,1157930114,2,,,,,
